record_type,ingredient_id,product_id,name_kr,name_en_or_brand,summary_text,benefit_text,caution_text,usage_reason_text,caution_group_text,combo_recommendation,product_summary_one_liner,product_composition_text,generated_at
ingredient,2,,가지열매추출물,Solanum Melongena (Eggplant) Fruit Extract,벗겨짐을 줄이고 탄력을 회복시켜 건조하고 손상된 피부의 외관을 개선시키는 성분.,가지 열매에서 얻은 추출물로 항산화 효과가 있다고 알려져 있습니다.,상대적으로 임상 데이터가 적은 성분입니다.,,,,,,2026-08-21T07:16:29.142212
ingredient,9,,리날룰,Linalool,이 제품은 특별한 향을 더해 주는 성분을 포함하고 있습니다.,여러 식물·에센셜 오일에 자연적으로 존재하는 향 성분입니다.,화장품 성분 중 접촉성 알레르기를 유발할 수 있는 대표적인 향료 알레르겐으로 알려져 있어 향료 민감자는 주의가 필요합니다.,,,,,,2026-08-19T04:00:09.585826
ingredient,31,,글루티너스리트세아나무껍질추출물,Litsea Glutinosa Bark Extract,건조하고 손상된 피부의 외관을 개선하는데 도움을 주는 성분.,,,,,,,,2026-08-19T04:00:02.988409
ingredient,74,,마돈나백합비늘줄기추출물,Lilium Candidum Bulb Extract,건조하고 손상된 피부의 외관을 개선시켜주는 성분입니다.,,,,,,,,2026-08-19T04:00:41.187714
ingredient,18,,리놀레익애씨드,Linoleic Acid,"리놀레익애씨드는 피부와 모발을 깨끗하게 하고, 탄력을 회복시키는 성분입니다.","피부를 부드럽게 하고, 모발의 건강을 유지하는 데 도움을 줍니다.",,이 제품에서는 피부 컨디셔닝과 향을 부여하는 목적으로 사용되었습니다.,,,,,2026-08-25T01:21:50.825989
ingredient,22,,리보플라빈,"Riboflavin,Lactoflavin",리보플라빈은 피부를 컨디셔닝해 건조와 손상에 대응하는 성분입니다.,피부의 탄력을 회복시켜 매끄럽고 건강해 보이는 효과가 있습니다.,,이 제품은 피부 진정과 미백을 목표로 하기 때문에 피부 컨디셔닝을 돕는 성분을 포함하고 있습니다.,,,,,2026-08-25T01:21:59.988605
ingredient,71,,마데카식애씨드,Madecassic Acid,"마데카식애씨드는 피부를 부드럽게 하고 탄력을 회복시키는 성분으로, 건조한 피부를 개선하는 데 도움을 줍니다.","피부의 건조함을 줄이고, 매끄러운 턴을 유지하는 데 도움을 줍니다.",,이 제품은 피부를 부드럽게 하고 탄력을 회복시키기 위해 마데카식애씨드를 포함하고 있습니다.,,,,,2026-08-25T11:41:55.277893
ingredient,171,,메틸글루코오스다이올리에이트,Methyl Glucose Dioleate,이 화장품은 피부 표면을 윤활시켜 부드럽고 매끄러운 표면을 보여줍니다.,,,,,,,,2026-08-19T03:59:52.384529
ingredient,198,,메틸실란올하이드록시프롤린아스파테이트,Methylsilanol Hydroxyproline Aspartate,건조하고 손상된 피부의 외관을 개선시켜 피부의 탄력을 회복하는 성분.,,,,,,,,2026-08-19T04:00:20.983920
ingredient,559,,복사나무꽃추출물,Prunus Persica (Peach) Flower Extract,복사나무꽃추출물은 피부를 부드럽게 하고 탄력을 회복시켜 건조한 피부를 개선하는 성분입니다.,피부의 탄력과 수분을 유지해 건강한 피부를 지원합니다.,,이 제품의 미백과 수분 관리 효과를 보완하기 위해 사용되었습니다.,,,,,2026-08-25T11:41:41.243726
